Ref_,Produto
1042027,IFPTYUME - INJECÇÃO FIBRA COR PRETO TERRINA YUME
1042028,IFMTYUME - INJECÇÃO FIBRA COR MADEIRA TERRINA YUME
2655110,BOTTOM COVER 3230
2496110,INFILL PANEL W20 BLACK
2495910,INFILL PANEL W25E FR BLACK
2660610,PUNCHERS V110
20513510,C20 TOP COVER HB
2659010,TOP COVER PUNCHERS 3230
2655010,TOP COVER PUNCHERS 3230
4015,TPO SHOR D 55 HYTREL NT
8007,POM 40%GF - Lucel GC240
10590091,1570013 - ARMREST HOUSING
10590092,1570013 - LOCKING DEVICE
4018,TPU MIRATHANE E395
7004,HIPS STYRON 485 NATURAL
1207,ALMA F1 - Durostat 450
1208,ALMA H1 - Durostat 450
1209,ALMA F4 - Durostat 450
1210,ALMA H4 - Durostat 450
1211,ALMA HE1 - Durostat 450
1212,ALMA HE2 - Durostat 450
1213,ALMA HE3 - Durostat 450
1214,ALMA HE4 - Durostat 450
1215,ALMA F1 - S235JR
1216,ALMA H1 - S235JR
1217,ALMA F4 - S235JR
1218,ALMA H4 - S235JR
1219,ALMA HE1 - S235JR
1220,ALMA HE2 - S235JR
1221,ALMA HE3 - S235JR
1222,ALMA HE4 - S235JR
33037,CORANTE FL-3/1408POM
5027,ABS - BAYBLEND T45 P45
1100,BRASS METAL INSERT M10*1.5
32010,Placa Simples Mod. 580*380 EXT F0 S/ F. S/Im. (Cartão)
1039023,Bobine Grande T. Rect. Sobreinjeção
2511110,Drawer - Dark Mouse Grey
2631710,SLIDE EXTENTION - Ex 2631610
1042015,Café Branco/Preto
1042016,Café Verde/Cinza
2821610,Selector Pin Guide Wire
2801010,Pin Guide Plastic
1044001,Expositor Plastico C/ JAY Cinza / Claro
1044002,Expositor Plastico S/ Marca Cinza /Claro
1026006,Logo DS
1026007,Logo HDI BLUETECH
2513810,Slide Extension 2
1027001,Pega Sacos C
1027002,Moeda 50 Cent C
1029001,ABS - recuperado NT
1030001,Fivelas p/ Cintos
1031001,Base das Espetadas
1031002,Cabos de Utensilios Cast.
1031003,Cabos de Utensilios Pretos
1031004,Cabos de Utensilios Brancos
1031005,Cabos de Utensilios Cinza
1032001,Cunha do Tensor PA 1000
1032002,Cunha do Tensor PA 1500
10320990,KNOB + STEM KNOB
8005,POM HOMO DELRIN 100P PRETO
1016004,Caixa TDT microbio
4002,TPU PRETO MOIDO
4003,TPE 80 SHORE NATURAL RAVAGO
4005,TPE 80 SHORE MOIDO RAL7016
1017001,CAPSULAS PROTECT TUTIGAS RAL -  4006
1017002,CAPSULAS PROTECT TUTIGAS RAL -6002
1017003,CAPSULAS PROTEC CPV RAL - 5015
1017004,CAPSULAS PROTEC CPV RAL- 1028
1021001,Suporte plastico para linha distribuidora
1012005,DEEA 0018 Frontblind_Einwurf
1016001,FLECHA  ABS PRETO
6014,PA66 V0 MOIDO CASTANHO
1016002,FLECHA PC TRANSPARENTE
1016003,LED QUADRADO PC TRANSPARENTE
010,N. DEVOLUÇÃO Nº
013,N / GT Nº
1001,Peças Plasticas Diversas
1002,DIVERSOS EXPORTAÇÃO
1008001,Batente de Tesouras Poda
1008002,Conj. Asa mala (2)
1008003,Conj. Fecho (2)+ Sup (4)+ Eixos (2)
1008004,TAMPA TUBO GR
1008005,TAMPA TUBO MD
1008006,REMATE TUBO GR
1008007,REMATE TUBO MD
1008008,BATENTE TUBO GR
1008009,BATENTE TUBO MD
1008010,CASQ FUSO GR
1008011,CASQ. FUSO MD
1008012,EMPANQUES GR (2)
1008013,EMPANQUES MD (2)
1008014,REMATE SUP. PARAFUSOS
1008015,TAPA HASTES TISSALHA
1008016,REMATE EXTENSOR MEDIO
1008017,SUPORTE SERROTE MEDIO
1008018,SUPORTE TESOURA ELECTRICA
1008019,CABO DO SERROTE MADEIRA
1008020,CABOS DA NAVALHA
1008021,Bainha do serrote pequeno
1008022,Bainha do serrote medio
1008023,CABO DO SERROTE MADEIRA
1008024,BLISTER TESOURÃO ARTICULADO
1009001,PUNHO DA MANIVELA SONATA 1523677
1009002,MANIVELA SONATA  1523888
10090031,MANGO MANIVELA SONATA PRETO
1009004,ROLAMENTO SONATA 1522535
10090041,ROLAMENTO SONATA FUSO PRETO
10090051,Fuso Grande Sonata  60% FV  1554203-9005
10090061,Fuso Pequeno Sonata 60% FV  1554202-9005
1009007,FEMEA L FUSO G SONATA
1009010,GRAMPO REGUAS
1009017,Abraçadeira Fixa NY6 D=25
1009018,Punho da Canadiana NY6  C1-C2  c/taco
1009020,Resguardo Lateral Longo
1009025,Espiga da Cruzeta ( Pivot)
1009026,And Taco S/ Espiga Preto
1009027,And Taco C/ Espiga Preto
1009028,Cad Guia Nylon Preto
1009029,Cad Tampão Int Preto
1009030,Cad Tampão Forqueta Preto
1010001,CARTUCHOS TERMINAIS BR
1011001,Tubos em PA
1011002,Caixa de Comando
1012001,DEMK 00001 Muenzeinheitfix
1012002,DEMK 0002  Muenzklappe
Despesa,Despesas
3001,PPE 20%GF LUMILOY NATURAL
1012003,DEMK 0003 Zwischenkasse
1012004,DEMH 0004 Rueckgabeknopk
1033002,Tacos Vermelhos
1035001,CONJ BASE+TAMPA PROTEÇÃO M10 BRICANTEL
1035184,Isolador Sup CL ll P1 36184
1035500,Pat Sup S500  BT- Eco
1036001,Roda da Embraiagem
1038001,Aro Disco Branco Texturado RAL 9110
1039001,Velas Beje compridas
1461090,Cliping tray cpl
1461190,Clipping Tray CPL n/cor
1461290,Cliping tray Cpl  BK
1471090,Clipping Tray CPL FR
1471190,Clipping Tray CLP FR n/cor
1471290,Cliping tray  BK FR
1512390,Handle binding DB
1512490,Lever binding cpl ( este produto ficou c/ codigo 1512390 )
1800490,Connecting link & Eccentric
20104510,Plunger Housing
20104610,Plunger
20104710,Dome Knob Guide
20104910,Locking collar
20120210,Transparente View Window
20120410,Buttons
20120510,LCD Spacer
20121010,Indicator
20121310,Quarter turner ( alterado em 5-9-2015 ) passa 20129810
20129810,Quarter Turner
20203010,ROLLER CUT ARM
20203510,SPACER PUNCH
20207310,ANILHA 8X5
20222810,BEARING 230/101 S C/ MAQUINAÇÃO
20223710,END CAP LH TURRET SYS2 GRY
20223810,END CAP RH TURRET SYS2 GRY
20224310,COUNTER COVER GRAY
20224410,Raceway Cover Gray
20251410,Insult. Hetr. brkt.
20254810,CAM FOLLOWER PRESSURE
20256110,Cam Colling  363/750
20257610,Roller Arm Drive
20257810,Bearing Camshaft
20258310,ARM P/B RETURN 300
20258410,Arm P/B Return
20258710,RACK PRESS BAR
20259910,SPACER 377 DX
20260510,BEARING PUNCH SHAFT
20262110,SYS3 PANEL SWITCH PANEL GRAY
20271510,Waste Tray Sys Four Gray
20321210,PB 2600 SUPORT DEALER
20321810,DISK KNOB
20356410,KNOB C/ INSERT
20400510,Plug Spring
20401010,Back Gage Spring
20451520,INSERT BACK GAGE
20501610,RUBBER FOOT
20502610,EDGE GUIDE
20503410,SPACE BAR
20503610,SPINE HANDLE
20510610,FRICTION REDUCION
20511810,CAM ESQUERDO
20511910,CAM DIREITO
20512710,C20 CAM BUSHING
20513348,HANDLE SPINE F20 PAINTING
20513810,SUPORT PUNCH BLADE
20520710,Cam spacer
20521710,C20 Holder Depth Sensor
20521810,Switch Chip Tray Position
20521910,C20 E Position Plat UL
20522510,Encoder Suport
20523510,C20 e Whell Motor Encoder
20523710,C20e Stoper Punch Plate
205237710,C20 e Stopper Punch Plate
2052510,Encoder Suport
20536010,Punch Buton UL
20556710,COVER CLICK UL
20556910,L/H HANDLE COVER
20557010,R/H HANDLE COVER
20557110,BINDING COVER
20606010,HINGE EXTRUSION CAP
20606110,SCREW HOLE CAP
20606210,RUBBER DOOR STOPPER
2227110,Foot Pr 20x10 anilha
2235010,Bushing Rect C/ Clip
2280410,Bushing Estriado 30x10
2282010,EXZENTERLAGER
2285910,Micro Exzenter
2450710,Foot 20x12
2460710,Support Cheek  L / H
2460810,Support Cheek  R / H
2461410,Paper Segregator Grey 20 Shts
2461610,Rubber Foot Front
2463910,Buffer
2465410,Back  Margin Guide
2467210,Paper Segregator Grey 20 Shts N/COR
2467810,Wire Closing Side Cheek L/H V0
2467910,Wire Closing Side Cheek R/H V0
2468010,CWB Side Cheek L / H
2468110,CWB Side Cheek R / H
2471410,Comb / Wire Opening Knob N/COR
2471510,Cap N/COR
2473010,Cap
2473110,Comb / Wire Opening Knob
2473610,Aperture Cover
2476510,Punch Button N/COR
2477710,Punch Button
2478210,Motor Pinion Helical
2478310,COMPOUND GEAR 34/13T
2479010,Gearbox Top Casing
2485410,Rivet
2489710,Aperture Cover DG
2490710,Paper Segregator 20 Shts P 423 c
2491510,Knob Comb/Wire Opning P 423 c
2491610,Cap P 423 c
2491710,Punch Button BK
2496610,Aperture Cover DG  BK
2510310,Paper Stop
2510610,Foot Blue
2510810,Paper Stop
2510910,Handle Punch Left Blue
2511010,Handle Punch Right Blue
2514310,Foot DB
2514410,Handle punch left DB
2514510,Handle punch right DB
2519310,Paper Stop Yellow
2531110,Hinge Sapce
2531210,""Bearing quadrado  20 x 7.5"""
2531510,Edge Guide
2531910,Foot grey
2540810,Side Guide Pintada
2540910,Comb Size Pintada
2541910,Chip Tray
2563210,Brake Binding Machanis
2565600,Cover Taps
2566110,Cover for knob Version
2630610,Side Wall
2630710,Bearing Yoke
2800510,""Bearing sx 30x18.5"""
2818910,Backgage
2823310,BUSHING TL CLOSER
2840810,Blind Size Slide
2841010,Egde Guide
2841910,Blind Size Slide DG
2842110,Edge guide DG
2842810,Blind Size Slide DG FR
2842910,Edge Guide DG FR
2844110,Reverse Switch Button DG
2844210,Punch Switch Button DG
1039002,Buchas p/ Chapa
1039003,Espaçador 9 mm 112902000
1039004,Velas Vermelhas
20224110,Edge Guide Racck SB SYS2 Grey
20256510,Cam Pressure
205237711,Punch Edge Guid Gray Sys 3 Pro
2563510,Stop Back for Punch Lever
2564810,FootSwitch Hous Top E-Vers
2631210,Motor Support
2567610,COVER FOR LEVER  col 1201
2564710,Footswitch hous.bott. Fussschalter-unterteil
1035002,Conj. Base p/Tubo 20 e Tampa Bricantel
1040001,Topo Perfil Direito N 12084
1040002,Topo Perfil Esquerdo N 12084
2563810,Cover For Pre-regulation
2265810,Handle  ( EPK-21 )
2567510,Cover Col 1201
20260910,SYS3 Pro Punch Edge Guide Gray
2331110,KNOB IM 24
2564910,Regulator(Dark Blue)
1010002,Tule Encabeçado Redondo
20225910,Punch Edge GDE SYS 2
20647010,Triptique Plastic Corners
2213710,Spring Guide Top
2264310,Griff Handle
2564110,Circular Slide col 1440
20224810,SCREW PUNCH EDGE GUIDE
20223610,Bind Guide SYS 2 GREY
20605510,Ext Corner Bottom Left
20605710,Ext Corner Bottom Rigth
20605610,Ext Corner Top Rigth
20605810,Sliding Door Corner Top
20605410,Ext Corner Top Left
20256210,Extruder Cam
20256610,Cam Shaft Part
20256410,Cam - Cutter
20605910,Sliding Door Corner Botton
20261610,Pully Drive
2564610,Side Stop Punch CPL
2567410,Cover for bracketing
2403510,Micro-Switch with Protection
20605010,INT. CORNER TOP LEFT
20605110,INT. CORNER BOTTOM LEFT
20605210,INT. CORNER TOP RIGHT
20605310,INT. CORNER BOTTON RIGHT
2402610,Flap (Grey) T500PRO
2631610,SLIDE EXTENTION
2628710,Gearwheel - 1
2630910,Gearwheel - 2
20225810,Punch Edge Guide - EX 9781605
20224710,CAP KNOB 0-19
1003,Moldes Diversos
2204010,PVC - Washer
2221410,CAM
2631010,Gearwheel - 3 - Z=26
20224010,Guide Knob - Ex 9781220
2222810,Paper Side Stop Dark Blue
2567810,Press Knob For Pre regulation
2564210,Regulator
1026005,RP-00230421_JONC_BOUTON_E4_19093_0001
1026003,1VSM12 - Jonc Bouton E4
1042005,Faca Mesa Branco/ Preto
1042006,Faca Mesa Verde/ Cinza
1042007,Garfo / Colher Sobremesa Branco/Preto
2567910,Slide Bolt
1042009,Faca Sobremesa Branco/Preto
1042010,Faca Sobremesa Verde/Cinza
20631210,Pen Tray 350mm dark grey
20631410,Pen Tray 350 mm Light Grey
20632510,Pen Tray 250 mm Dark Grey
20632410,Pen Tray 250 mm Light Grey
1003902,BUCHA P/ CHAPA
205237712,ESPAÇADOR 9 mm 112902001
1039010,""CARRETEL PEQUENO RED 3.9 mm"""
1039011,""CARRETEL GRANDE RED 3.9 mm"""
1039012,CARRETEL PEQUENO RECT
1039013,CARRETEL GRANDE RECT
1035005,""""""Tampa novo logo """""""" Bragamaia """""""""""""""
1035006,""""""Base Reta de Capsula """""""" Bragamaia """""""""""""""
1035007,""""""Base Curva de Capsula """""""" Bragamaia """""""""""""""
20650810,PLASTIC BUTTERFLY CONNECTOR
20650010,PLASTIC BUTTERFLY CORNER GREY
20650110,PLASTIC BUTTERFLY CORNER
20658010,CORNER C/FIX D/GRY (15
20658110,CORNER E FRONT D/GRY
20658210,E/F REAR CAP NO HOLE
1042011,Garfo / Colher Criança Branco/Preto
1042012,Garfo / Colher Criança Verde/Cinza
1042013,Chã Branco/Preto
1042014,Chã Verde/Cinza
900001,THF - 1VSM12
900002,Cam Metal Insert
20131810,EDGE GUIDE - EX. 20104910
2233410,wedge
1026004,Tires Courantes P.A -1SAM
2236510,Drawer - 1
2233710,Drawer - 2
10420012,Garfo / Colher Criança Madeira
1056001,1652273 - Rear Frame Protection Compact (Revision: A)
10420006,Faca Mesa Madeira
1052001,Canvas
1035009,""""""Base Reta de Capsula  """"""""BRAGAMAIA"""""""""""""""
10530001,Silver Pin
1052002,Rubber tube ø6.2-320 mm
1052003,Rubber tube ø6.2-245 mm
1055001,Embasepto
1055002,Platine PTO 2FO
1063002,60125917 (Lock 1- Plastic Grip Lever )
1063003,60125924 (Lock 1- Plastic Housing 2 )
1053010,Binding Pins
1053011,Plastic part - 8 mm ( Bags 10 UN )
1053012,Tower cover
2335410,Guide - POM
1053004,Silver Pin - packed per 40 pcs ( everything included: injection – vacuum flash – packed)
1055003,Platine PTO 4FO"021""ARTIGO 6º Nº 6 ALINEA A) DO CIVA"""
1057001,Fixa Dobradiça
1057002,Móvel - Dobradiça
10215001,Vestoran 1900 GF20 S2702614753
1058001,Internal Linear Guide
1009053,1649751 - ISA - Hand Rest Left
1009054,1649752 - ISA - Hand Rest Right
26100001,""Balinit triton star - DIA-34.5LEN-97"""
80001,ABS NERO
80002,ABS 27-10 BK
80003,POM RESINEX NAT
80004,POM HOSTAFORM C9021
80005,Grivory GV-5H BK
1064001,SPATULA
1064002,XL - EXTRA COMPONENT ( FOOD CONTACT )
1064003,LUNA - EXTRA COMPONENT ( FOOD CONTACT )
1053015,Plastic -A5-40 Box Clip
2392210,AXLE
2554510,Bearing Plate -for Bracket
1026010,1SAM02 - ABS/PC PLACA DE BRILHO
1026011,1SAM03 - PA 40% Mineral PLACA DE BRILHO
1065001,AttachmentPin - Hell Loop
1059006,5221701- Brake Extender plastic (Revision: 04)
1042022,IFP FSMYUME - Faca Sobremesa Yume Preto
2663710,STAPLER PLATE
1059019,5220673 - Calf Pad Plate 16
1009063,1177461 - Medley Ergo Kit 2 Guiasp/Guardas
2490310,HOOPER COVER BLACK
2663110,STAPLER BRACKET PCB
2436010,BOTTOM COVER T400
2665910,TOP COVER 3230ST
1045010,S_Plastic Clip 6159_602
10271001,GRATER - SINGLE SIZE/ORANGE
20543510,CHIP TRAY GREY
20542710,Housing Top Black
20542510,Housing Top Black
20540010,Housing Bottom Black
20540110,Housing Bottom Grey
20544810,LH ARM BLACK
20544910,RH ARM BLACK
20546210,BINDING GEAR
10610066571,66.5X57.1 Verde
1072001,Pedal PA6 30%GF BK
1073001,Pedal PA6 30%GF BK
20144010,""KNOB EDGE GUIDE MOD PNCH"""
2202610,Adjusting Screw (Dark Blue)
2215910,Adjusting Screw
2495810,INFILL PANEL MUL 230E FR BLACK
1073002,Base Patim Cinza
1073003,Base Patim M - Preto
2467610,INFILL PANEL CWB406E FR
2469110,CWB INFILL PANEL
2496010,INFILL PANEL MB230 (BLACK)
2650110,TOP COVER 350 MD
1073004,Base Patim L BK
1073005,Patim L BK
2473210,SPIDER
2550210,Litter Pin Base
1042019,IFP MYUME - Garfo / Colher Yume PRETO
1042020,IFP C YUME - Châ / Criança Yume Preto
20541510,SINGLE ARM BLACK
20542410,CHIP TRAY BLACK
2203210,DRAWER (IBIMATIC)
2650010,BOTTOM COVER 350 MD
2666010,BOTTOM COVER 3230 ST
2650210,CHIP TRAY 350 MD
1078001,RXP-PART-001
1078002,RXP-PART-011
1078003,RXP-PART-006
1078004,RXP-PART-007
1078005,RXP-PART-008
1078006,RXP-PART-002
1078007,RXP-PART-004
2656210,DRAWER 3230
2663010,STAPLER TOP BRACKET
2660710,BOTTOM COVER V110
1550490,COVER CPL MULTIBIND 420
1044003,Casquilho 19X32
1044004,Casquilho 19X46
1044005,Casquilho 19X42
1044006,Casquilho 24X32
1044007,Casquilho 24X46
1044008,Casquilho 24x42
2660810,DRAWER V110
1078010,K02- P01- Frame F
1078011,K02 - P01- Punho
1078012,K02 - P01- Frame B
1078013,K02 - P01- Balancet
104200019,IFP MYUME - Garfo / Colher Yume Madeira
1042023,IFPSMYUME - Garfo/Colher Sobremesa Yume Preto
104200020,IFP MYUME - Garfo/Colher Sobremesa Yume Madeira
104200021,IFM FSMYUME - Faca Sobremesa Yume Madeira
20665110,Savanna - Nobo
1009043,Actuator Holder b - 1646358
20216410,Debinder
20207610,Lens
20202110,Bearing
1048001,Manicotto 138-059 250A
1048002,Dispositivo di Chiusura 250 A
1005001,Foot Red
20104810,Edge Guide
10420019,Concha - Preta / Branca
10420020,Concha - verde / cinza / Madeira
1045006,Clip 4187
2548610,Closed end Cap
2548510,Unziping tool
2841610,Reverse Switch Button
2841710,Punch Switch Button
2548310,Wide Wing Pint
1045008,Prototipo Clip 2493 - G02
1045009,Prototipo Clip 2493 - G03
2346610,Drawer PQ. Grey
1040003,Patim com Fixador
2331610,Drawer-4
2221010,Drawer - 5 - C800PRO/Mouse D. Grey
2634410,Slide Botton Poti ( Dark M. Grey )(
1045001,Prototype Mould
2234010,Handle
20224210,Punch Edge Guide Support
2402410,Hinge Pin For Flap
2403110,""Heating plate holder short"""
2567710,Slide for Pre- regulation
2232610,Handle ( Dark Mouse Grey)
1045003,PN-2913-191
1045004,Clip 2305-202
1045005,Clip 2305_203
1036003,Esgoto 3/4 X 90
20261010,SYS 4 GUIDE PAPER BIND GRAY
2822910,""""""Bearing"""
2231410,Wedge ( Dark Mouse Grey )
1009045,ASM Spreadbar Hook - 1645828-
2223810,Drawer - 3
2218210,Rubber FC em TPE
1017005,Tampa de Proteção Valvula G.  Gás
20132010,Locking Collar
1039021,Bobine Grande T. Redondos Sobreinjeção
1036004,Pendural
1036005,Rodízios
1026008,Caixas de plasticas para transporte de Material Rejeitado
1039024,Casquilho dentário
10420010,Faca Sobremesa Madeira
10420120,Concha - Madeira
1053003,PLASTIC PART 4X4 - Base 25 UN + RIM 25 UN + PET G 25 UN+ Packing
1053006,PLASTIC PART  4X6 - Base 25 UN + RIM 25 UN + PET G 25 UN  + Packing
1061001,57X60 - Verde
1061002,57X63 - Verde
1061003,57X64 - Verde
1061004,57X65 - Verde
1061005,57X66.5 - Verde
1061006,57X67 - Verde
1061007,57X68 - Verde
1061008,57X69 - Verde
1061009,57X70 - Verde
1061010,57X72 - Verde
1061011,57X72.5 - Verde
1061012,57X73 - Verde
1061013,57X74 - Verde
10610011,57X60 - Amarelo
10610012,57X63 - Amarelo
10610013,57X64 - Amarelo
10610014,57X65 - Amarelo
10610015,57X66.5 - Amarelo
10610016,57X67 - Amarelo
10610017,57X67 - Amarelo
10610018,57X69 - Amarelo
10610019,57X70 - Amarelo
10610020,57X72 - Amarelo
10610010,57X72 - Amarelo
10610021,57X72.5 - Amarelo
10610022,57X73 - Amarelo
10610023,57X74 - Amarelo
10610031,60X63 - Natural
10610032,60X64 - Natural
10610033,60X65 - Natural
10610034,60X66.5 - Natural
10610035,60X67 - Natural
10610036,60X68 - Natural
10610037,60X69 - Natural
10610038,60X70 - Natural
10610039,60X72 - Natural
10610040,60X72.5 - Natural
10610041,60X73 - Natural
10610042,60X74 - Natural
1061005660,56X60 - Azul
1061005663,56X63 - Azul
1061005664,56X64 - Azul
1061005665,56X65 - Azul
1061005665.5,56X66.5 - Azul
1061005667,56X67 - Azul
1061005668,56X68 - Azul
1061005669,56X63 - Azul
1061005670,56X70 - Azul
1061005672,56X72 - Azul
1061005672.5,56X72.5 - Azul
1061005673,56X73 - Azul
1061005674,56X74 - Azul
1061005460,56X60 - Vermelho
1061005463,56X63 - Vermelho
1061005464,56X64 - Vermelho
1061005465,56X65 - Vermelho
1061005466.5,56X66.5 - Vermelho
1061005467,56X67 - Vermelho
1061005468,56X63 - Vermelho
1061005469,56X69 - Vermelho
1061005470,56X70 - Vermelho
1061005472,56X72 - Vermelho
1061005472.5,56X72.5 - Vermelho
1061005473,56X73 - Vermelho
1061005474,56X74 - Vermelho
1061005860,58X60 - Laranja
1061005863,58X63 - Laranja
1061005864,58X64 - Laranja
1061005865,58X64 - Laranja
1061005866.5,58X66.5 - Laranja
1061005867,58X67 - Laranja
1061005868,58X68 - Laranja
1061005869,58X69 - Laranja
1061005870,58X70 - Laranja
1061005872,58X72 - Laranja
1061005872.5,58X72.5 - Laranja
1061005873,58X73 - Laranja
1061005874,58X74 - Laranja
106100NX42,NX - 42
106100NX46,NX - 46
106100NX48,NX - 48
106100NX50,NX - 50
106100NX52,NX - 52
106100NX55,NX - 55
10610066.570,66.5X70 - Cinza
10610066.573,66.5X73 - Cinza
10610065.173,65.1X73 - Cinza
10610065.174,65.1X74 - Cinza
10610063.468,63.4X68 - Castanho
10610063.469,63.4X69 - Castanho
10610063.470,63.4X70 - Castanho
10610063.472,63.4X72 - Castanho
10610063.473,63.4X73 - Castanho
20656510,Propanel Corner Connector
1053009,Pen 8mm Paneel ( BAGS 10 UN ) + Cardbord Box
33004,CORANTE MB 51717 VERDE
6,Artigos Alimentares
12001,SPRAY VPW 80/12/400-CERA SINTETICA ANTICORROSAO 12 UNDS
33017,CORANTE VERMELHO POLIBATCH AG 5020
22,Qualidade
16,Acessoria externa
18,Material de escritório
20,Taxas Legais
5,Fornecimento e aplicação (IVA autoliquidação)
33010,CORANTE API 50 NERO PRETO
33003,CORANTE MB 1890 BRANCO
15,Seguros
3,Transportes
33024,CORANTE VERDE
33005,CORANTE HCM 2734P MADEIRA
33002,CORANTE BE 281481 MARFIM
21,Amortizações / Depreciações
4006,TPE 30 SHORE NATURAL
6007,PA6 BK MOIDO PRETO
14,Informática
4,Telecumonicaçoes
33018,CORANTE VERMELHO 33733
33015,CORANTE CA 281263 CASTANHO
8000,POM POKETONE NATURAL
6008,PA6+3% MOIDO PRETO
6004,PA6 30% GF MOIDO RAL -7016
33013,CORANTE INEOS NA 191873 PRETO
33009,CORANTE MB 82352 PRETO
33008,CORANTE CROMOFIX 99814 PRETO
33006,CORANTE AM 281044 MOSTARDA
6000,PC CRISTAL INFINO TRANSPARENTE
33026,CORANTE MB 81699 RAL 7035
33036,CORANTE BE 281174
4014,TPO NATURAL HIFAX 10A
33027,CORANTE MB 61683
4011,TPE 30 SHORE KRAIBURG
6028,PA GRIVORY 5H BK 9915
9003,PP 40% FIBRA PRETO
7003,PMMA WANHUA NATURAL
33034,CORANTE MB 22304 Yellow
33035,CORANTE MB 52358 Green
6005,PA6 30% GF MOIDO RAL 7035
6001,PA6 30% G BEADS
5020,ABS FA COR-81883
5021,ABS FA COR-81653
6027,PA66 FG RESISTENTE TEMPERATURA ZYTEL NATURAL
6023,PA66 30%GF H PRETO
6024,PA6 SEM FIBRA AKULON PRETO
6025,PA6 SEM FRIBRA PROMYDE NATURAL
4004,TPE 80 SHORE NATURAL KRAIBURG
8006,POM HOMO NATURAL DELRIN 500P
3002,PPE 20%GF VESTORAN PRETO
8,Restaurantes (IVA taxa normal)
33020,CORANTE CI 281460 RAL 7016 CINZENTO
33014,CORANTE LA 281344 L 151C PANTONE
33016,CORANTE AZ 281807 AZUL
6015,PA6 V0 MOIDO AZUL
33021,CORANTE MB 82716 RAL 7016 CINZENTO
33022,CORANTE MB 1933 BRANCO
9,Restaurantes (IVA taxa intermédia)
33028,CORANTE MB 52315
33029,CORANTE MB 42246
6029,PA6 30% GF MOIDO
5011,ABS+MB81699 (3%) RAL 7035
5006,ABS V0 NATURAL
33001,CORANTE AZ 28753 RAL 5013
6022,PA6 50% GF DURETHAN
6003,PA 30% GF MOIDO RAL -7035
3003,PPE 20% GF VESTORAN MOIDO PRETO
23,Matéria prima
33023,CORANTE BR 281858 BRANCO
6026,PA66 30% GF
5025,ABS COLORIDO FL
33030,CORANTE MB 82208
1009005,FUSO GRANDE L SONATA
5012,ABS FL 3/1380EV
5005,ABS V0 PRETO
5016,ABS COLORIDO FL COR-3184
6020,PA6 40% CM
33033,ADITIVOS
33011,CORANTE MB 81855 PRETO
7002,PS HI
